1: x1='2.5', x2='7.5'
2: x1='5.912587874523695', x2='11.633905485301705'
3: x1='-4.412076967733341', x2='3.0058114225792147'
4: x1='-0.9098123633655257', x2='8.207648079502304'
5: x1='1.0697957122142983', x2='3.6285161996675357'
6: x1='1.7233659331326514', x2='12.418973359972576'
7: x1='9.636797245272604', x2='10.603355987885784'
8: x1='-2.286668753758501', x2='13.075772820714569'
9: x1='8.82354761925537', x2='10.850507820885987'
10: x1='0.9383444939254169', x2='1.5267350786500444'
11: x1='9.908521017030905', x2='6.566824002337671'
12: x1='0.5925461517942736', x2='8.173197504366138'
13: x1='-3.3265595483986514', x2='5.651573095877717'
14: x1='-1.903800271809335', x2='7.717879927857412'
15: x1='-3.180769659652202', x2='5.572949879968595'
16: x1='9.12185353835875', x2='5.155298745294126'
17: x1='-3.3559874329790524', x2='3.7121675237556016'
18: x1='-0.5380591364348479', x2='14.783385529971836'
19: x1='-3.344167669473428', x2='4.1798396564298965'
20: x1='7.691409249780957', x2='4.897552207508583'
21: x1='-3.2268226853120936', x2='8.207648079502304'
22: x1='-4.336772813808533', x2='3.812656455848555'
23: x1='4.117449447137579', x2='8.37925348874203'
24: x1='1.7706290274571943', x2='3.3677441118212474'
25: x1='1.2430982527387986', x2='8.542022868036131'
26: x1='7.635621392427613', x2='10.540077328121601'
27: x1='3.9374557464926347', x2='8.402210301767601'
28: x1='4.573130718490672', x2='0.6861583386847414'
29: x1='4.047518840873014', x2='8.472649629336445'
30: x1='6.254703913704773', x2='8.945671663776244'
31: x1='0.07332733712940431', x2='8.42392915514153'
32: x1='1.428020192922534', x2='0.7120369542438881'
33: x1='4.880657466711188', x2='0.29595484859290255'
34: x1='3.3210177191764867', x2='10.353357803814564'
35: x1='5.164681583085757', x2='0.35335491888537574'
36: x1='1.6237439916748961', x2='5.800844709285139'
37: x1='4.5922790605639054', x2='0.4794570325294639'
38: x1='5.178166430684842', x2='4.859873136605025'
39: x1='4.800967295402785', x2='0.16956630551942797'
40: x1='-2.6551315878308968', x2='3.309069157290969'
41: x1='5.231046574577249', x2='0.5857193480377804'
42: x1='4.281907190591083', x2='11.153872283942427'
43: x1='5.468557686139279', x2='0.4480192859958293'
44: x1='-3.575195641892122', x2='13.599269135606203'
45: x1='-0.8288138357818067', x2='12.808550932787718'
46: x1='-3.567746287042177', x2='14.199302606590495'
47: x1='-0.5540398930787056', x2='3.522023954212672'
48: x1='-3.5731547072619154', x2='13.789859183772322'
49: x1='0.7694204430860321', x2='10.99752387167471'
50: x1='-3.579520977191587', x2='14.35304492511403'
51: x1='-4.418006902819369', x2='5.779153758498921'
52: x1='-3.5578683353991902', x2='9.749453553843244'
53: x1='5.6959094322930515', x2='10.331762918264847'
54: x1='-3.5603760003640628', x2='9.805370089536034'
55: x1='-3.6653507748311336', x2='11.277151732874847'
56: x1='7.946296790227308', x2='10.625071511193676'
57: x1='-3.671650277079234', x2='11.163812910767266'
58: x1='-2.707606609878976', x2='4.754200071696018'
59: x1='-3.7126826877549073', x2='10.504440476163442'
60: x1='-0.8329704494778518', x2='10.765891007121843'
61: x1='-3.722776439355276', x2='13.777944835330953'
62: x1='5.6789667941466995', x2='4.843710533922164'
63: x1='-3.7363113774249266', x2='13.306343783317834'
64: x1='9.507372305294146', x2='10.221559051110054'
65: x1='-3.7182092069309003', x2='12.328553809320402'
66: x1='-3.8803035119690144', x2='12.773662571366978'
67: x1='7.7844185450767736', x2='6.254073596727578'
68: x1='-3.864202313700606', x2='11.576085082970186'
69: x1='6.654983202339945', x2='2.878710994806521'
70: x1='-3.8573183556752593', x2='12.45463053186701'
71: x1='3.076489336314598', x2='1.662435715959711'
72: x1='-3.910488779679561', x2='11.478639182506193'
73: x1='-3.834337309004285', x2='7.546429414005269'
74: x1='-3.9403451592285386', x2='11.250485749426755'
75: x1='4.007462508547102', x2='4.0656890142499815'
76: x1='-3.942418708011383', x2='11.481139111151645'
77: x1='-3.967306817322424', x2='14.460553754438404'
78: x1='-3.5376291588674076', x2='11.949498477002924'
79: x1='-3.9627025791153034', x2='12.836657596839382'
80: x1='3.3345397278295525', x2='14.565144456221311'
81: x1='-3.968955668374598', x2='13.606182074133342'
82: x1='9.231499000964988', x2='1.2573734787660267'
83: x1='-3.9773285557389597', x2='13.867748315466134'
84: x1='4.224748049866049', x2='14.499903806228756'
85: x1='-3.9667887939858675', x2='14.5775383083263'
86: x1='4.677906961851958', x2='1.0116075257769575'
87: x1='-4.001808021314546', x2='13.482313567642683'
88: x1='-4.151828960570794', x2='12.387019929649885'
89: x1='2.8430015461536327', x2='12.579340617405062'
90: x1='-4.118009961392012', x2='13.398907901970158'
91: x1='2.3534785425666174', x2='2.636570651214343'
92: x1='-4.0998877792203885', x2='13.876877297327226'
93: x1='-3.98825150072601', x2='4.357041874506136'
94: x1='-4.113979783672862', x2='14.121500381886172'
95: x1='-3.4197047709859483', x2='9.754030082161512'
96: x1='-4.157165351133182', x2='14.138768622957647'
97: x1='8.594334224350574', x2='12.267423762976124'
98: x1='-4.1045584259269505', x2='12.712242650924031'
99: x1='-4.219531003609135', x2='14.138768622957647'
100: x1='4.920799447513804', x2='4.099501987028909'
